"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 27 15:38:45 BRT 2021","Thu May 27 15:38:46 BRT 2021","1329","","Login","","","","Login com sucesso",""
"failed","Thu May 27 15:38:46 BRT 2021","Thu May 27 15:38:47 BRT 2021","1435","","Login","","","","Login inválido",""
